City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Minas,UY,2021-08-03 02:53:09,-34.3759,-55.2377,46.87,92,0,2.89
138,Tupik,RU,2021-08-03 02:53:10,54.4253,119.9327,58.35,95,100,2.8
139,Narsaq,GL,2021-08-03 02:51:22,60.9167,-46.05,45.23,95,100,3.02
140,Staroye Drozhzhanoye,RU,2021-08-03 02:53:11,54.7266,47.5677,73.35,58,28,7.99
141,Gamba,GA,2021-08-03 02:53:11,-2.65,10.0,71.76,91,100,0.56
142,Pringsewu,ID,2021-08-03 02:53:11,-5.3582,104.9744,87.15,59,60,2.01
143,Ust-Tsilma,RU,2021-08-03 02:53:11,65.441,52.1498,59.63,91,40,3.42
144,Eyemouth,GB,2021-08-03 02:53:12,55.8713,-2.0901,50.04,93,9,1.01
145,New Norfolk,AU,2021-08-03 02:51:32,-42.7826,147.0587,55.76,71,98,1.01
146,Puerto Ayora,EC,2021-08-03 02:51:22,-0.7393,-90.3518,70.75,91,58,8.99
147,Saskylakh,RU,2021-08-03 02:51:33,71.9167,114.0833,72.73,38,20,9.95
148,Torbay,CA,2021-08-03 02:51:53,47.6666,-52.7314,59.58,94,90,11.5
149,Izhma,RU,2021-08-03 02:53:13,65.0083,53.9113,60.3,88,19,3.24
150,Broome,US,2021-08-03 02:53:13,42.2506,-75.833,57.38,90,0,0.31
151,Vaini,TO,2021-08-03 02:51:13,-21.2,-175.2,75.36,69,20,13.8
152,Bethel,US,2021-08-03 02:52:10,41.3712,-73.414,68.68,82,40,3.44
153,Maralal,KE,2021-08-03 02:53:14,1.0968,36.698,56.91,74,80,4.18
154,Atuona,PF,2021-08-03 02:51:26,-9.8,-139.0333,77.58,74,2,18.43
155,Plettenberg Bay,ZA,2021-08-03 02:53:14,-34.0527,23.3716,57.09,60,0,5.41
156,Leningradskiy,RU,2021-08-03 02:51:59,69.3833,178.4167,33.01,99,100,9.51
157,Launceston,AU,2021-08-03 02:53:14,-41.45,147.1667,55.04,74,90,4.0
158,Padang,ID,2021-08-03 02:53:15,-0.9492,100.3543,86.05,66,60,2.73
159,Haines Junction,CA,2021-08-03 02:53:15,60.7522,-137.5108,62.55,77,78,8.05
160,Sao Filipe,CV,2021-08-03 02:53:15,14.8961,-24.4956,76.3,85,87,6.6
161,Sao Jose Da Coroa Grande,BR,2021-08-03 02:52:13,-8.8978,-35.1478,73.02,89,73,9.53
162,Margate,GB,2021-08-03 02:51:32,51.3813,1.3862,58.69,80,100,1.99
163,Nola,IT,2021-08-03 02:53:16,40.922,14.5329,76.55,67,34,3.83
164,Dwarka,IN,2021-08-03 02:52:24,22.2394,68.9678,82.27,82,100,21.45
165,Cidreira,BR,2021-08-03 02:52:11,-30.1811,-50.2056,50.36,89,1,5.19
166,Puerto Penasco,MX,2021-08-03 02:52:48,31.3167,-113.5333,89.91,76,0,8.01
167,Karratha,AU,2021-08-03 02:53:17,-20.7377,116.8463,70.7,20,10,22.24
168,Alofi,NU,2021-08-03 02:53:17,-19.0595,-169.9187,75.09,73,75,9.22
169,Saint Stephen,GB,2021-08-03 02:53:17,50.3333,-4.9,55.67,88,100,0.0
170,Canada,ES,2021-08-03 02:51:16,38.6767,-0.8141,65.73,90,1,1.48
171,Dikson,RU,2021-08-03 02:51:20,73.5069,80.5464,51.37,80,100,7.83
172,Bud,US,2021-08-03 02:51:16,39.447,-86.1758,68.22,79,9,5.97
173,Christchurch,NZ,2021-08-03 02:53:17,-43.5333,172.6333,48.4,76,75,8.99
174,Kachug,RU,2021-08-03 02:53:18,53.9606,105.8817,72.01,48,100,5.66
175,Cagdianao,PH,2021-08-03 02:53:18,9.9211,125.6692,86.86,68,100,10.94
176,Ouango,CF,2021-08-03 02:53:19,4.3133,22.5552,67.91,97,96,0.6
177,Rocha,UY,2021-08-03 02:53:19,-34.4833,-54.3333,43.93,92,0,2.17
178,Aklavik,CA,2021-08-03 02:51:25,68.2191,-135.0107,54.32,81,100,12.66
179,Banda Aceh,ID,2021-08-03 02:53:19,5.5577,95.3222,85.19,67,98,13.69
180,Codrington,AU,2021-08-03 02:51:43,-38.2667,141.9667,51.69,71,76,23.78
181,Touros,BR,2021-08-03 02:53:20,-5.1989,-35.4608,72.5,88,14,15.55
182,Aljezur,PT,2021-08-03 02:53:20,37.3191,-8.8033,62.69,83,99,7.2
183,Clyde River,CA,2021-08-03 02:51:44,70.4692,-68.5914,34.03,100,90,10.36
184,Camocim,BR,2021-08-03 02:53:21,-2.9022,-40.8411,74.34,81,10,1.95
185,Hvide Sande,DK,2021-08-03 02:53:21,56.0045,8.1294,59.0,74,100,13.76
186,Palencia,ES,2021-08-03 02:53:21,42.4167,-4.5,55.8,88,98,5.39
187,Alyangula,AU,2021-08-03 02:53:22,-13.8483,136.4192,85.87,62,75,6.91
188,Bluff,NZ,2021-08-03 02:51:31,-46.6,168.3333,50.81,58,29,6.85
189,Cabo San Lucas,MX,2021-08-03 02:49:11,22.8909,-109.9124,90.7,63,6,7.0
190,Caravelas,BR,2021-08-03 02:51:59,-17.7125,-39.2481,65.71,81,34,2.82
191,Kot Addu,PK,2021-08-03 02:53:22,30.4692,70.9671,87.66,38,8,10.92
192,Susangerd,IR,2021-08-03 02:53:23,31.5608,48.1831,87.82,12,0,2.53
193,Baruun-Urt,MN,2021-08-03 02:51:55,46.6806,113.2792,80.49,28,100,10.94
194,Alberton,CA,2021-08-03 02:53:23,46.8168,-64.0654,62.51,88,94,11.43
195,Eyl,SO,2021-08-03 02:53:23,7.9803,49.8164,80.02,55,19,26.89
196,Komsomolskiy,UZ,2021-08-03 02:53:24,40.4272,71.7189,81.32,34,53,2.3
197,Noyabrsk,RU,2021-08-03 02:53:24,63.1994,75.4507,66.11,69,50,10.42
198,Chokurdakh,RU,2021-08-03 02:51:28,70.6333,147.9167,56.41,32,17,9.28
199,Shimoda,JP,2021-08-03 02:53:24,34.6667,138.95,88.16,76,80,7.58
200,Pasighat,IN,2021-08-03 02:53:25,28.0667,95.3333,84.16,82,100,2.66
201,Yeppoon,AU,2021-08-03 02:53:25,-23.1333,150.7333,78.58,53,0,12.55
202,Constitucion,CL,2021-08-03 02:53:25,-35.3333,-72.4167,52.86,64,0,5.23
203,Tolmezzo,IT,2021-08-03 02:53:26,46.4075,13.0175,59.7,93,69,5.61
204,Avarua,CK,2021-08-03 02:51:38,-21.2078,-159.775,78.85,73,90,10.36
205,Isangel,VU,2021-08-03 02:53:26,-19.55,169.2667,78.91,57,20,11.5
206,Botwood,CA,2021-08-03 02:53:27,49.1499,-55.3482,62.08,82,100,1.19
207,Batagay,RU,2021-08-03 02:53:27,67.6333,134.6333,75.94,26,3,2.73
208,Parabel,RU,2021-08-03 02:53:27,58.6978,81.4825,57.65,86,100,3.4
209,Umm Lajj,SA,2021-08-03 02:53:28,25.0213,37.2685,89.01,39,2,6.31
210,Contamana,PE,2021-08-03 02:53:28,-7.3333,-75.0167,69.17,66,0,2.28
211,Semey,KZ,2021-08-03 02:53:28,50.4111,80.2275,79.02,38,0,4.47
212,Faya,SA,2021-08-03 02:53:29,18.3851,42.4509,62.71,69,94,6.91
213,Yining,CN,2021-08-03 02:53:29,29.0361,114.5636,93.06,52,0,8.12
214,Mogadishu,SO,2021-08-03 02:53:29,2.0371,45.3438,75.87,85,100,16.8
215,Bin Qirdan,TN,2021-08-03 02:53:30,33.1378,11.2197,84.56,40,0,5.37
216,Thabazimbi,ZA,2021-08-03 02:53:30,-24.5917,27.4116,50.61,49,0,3.67
217,Lebu,CL,2021-08-03 02:48:10,-37.6167,-73.65,50.76,90,23,16.22
218,Macapa,BR,2021-08-03 02:53:30,0.0389,-51.0664,80.58,89,0,4.61
219,Nioro,GM,2021-08-03 02:52:10,13.35,-15.75,74.26,96,93,5.44
