City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
88,Hobart,AU,2021-08-07 02:48:41,-42.8794,147.3294,51.03,78,75,1.01,broken clouds
89,Okhotsk,RU,2021-08-07 02:44:22,59.3833,143.3,64.53,48,3,3.22,clear sky
90,Baghdad,IQ,2021-08-07 02:48:13,33.3406,44.4009,89.51,22,0,4.61,clear sky
91,Cockburn Town,TC,2021-08-07 02:44:22,21.4612,-71.1419,82.18,77,2,16.31,clear sky
92,Kavieng,PG,2021-08-07 02:44:23,-2.5744,150.7967,84.63,73,48,17.13,light rain
93,Abu Samrah,SY,2021-08-07 02:44:23,35.3029,37.1841,77.65,46,3,6.17,clear sky
94,Portland,US,2021-08-07 02:44:52,45.5234,-122.6762,79.21,73,75,1.99,broken clouds
95,Lagoa Vermelha,BR,2021-08-07 02:48:43,-28.2086,-51.5258,53.74,93,38,10.51,scattered clouds
96,East London,ZA,2021-08-07 02:44:24,-33.0153,27.9116,58.06,78,11,3.78,few clouds
97,Kapaa,US,2021-08-07 02:48:43,22.0752,-159.319,84.52,67,40,1.99,scattered clouds
98,Upernavik,GL,2021-08-07 02:44:24,72.7868,-56.1549,42.15,90,100,7.72,overcast clouds
99,Palmer,US,2021-08-07 02:44:24,42.1584,-72.3287,74.01,74,20,5.75,few clouds
100,Ahuimanu,US,2021-08-07 02:44:25,21.4447,-157.8378,89.31,62,20,14.97,few clouds
101,Vaini,TO,2021-08-07 02:43:54,-21.2,-175.2,75.36,83,40,16.11,scattered clouds
102,Xining,CN,2021-08-07 02:48:45,36.6167,101.7667,68.49,51,60,1.52,broken clouds
103,Todos Santos,MX,2021-08-07 02:48:45,23.45,-110.2167,85.1,83,84,3.56,broken clouds
104,Chapais,CA,2021-08-07 02:44:25,49.7834,-74.8492,62.38,97,100,9.08,overcast clouds
105,Beringovskiy,RU,2021-08-07 02:44:26,63.05,179.3167,44.02,85,100,23.09,light rain
106,Humberto De Campos,BR,2021-08-07 02:48:46,-2.5983,-43.4611,75.56,89,38,5.66,scattered clouds
107,Bojnurd,IR,2021-08-07 02:48:46,37.4747,57.329,58.95,41,0,2.3,clear sky
108,Itarema,BR,2021-08-07 02:48:47,-2.9248,-39.9167,79.92,70,31,17.96,scattered clouds
109,Aberdeen,GB,2021-08-07 02:48:47,57.1437,-2.0981,60.21,100,90,4.61,mist
110,Lorengau,PG,2021-08-07 02:48:47,-2.0226,147.2712,81.39,76,98,3.53,moderate rain
111,Bantigue,PH,2021-08-07 02:48:48,10.9899,124.6225,86.25,67,100,4.88,overcast clouds
112,Nishihara,JP,2021-08-07 02:48:48,26.1842,127.7558,85.66,92,90,19.57,overcast clouds
113,Snezhnogorsk,RU,2021-08-07 02:48:48,69.1933,33.2531,46.18,79,10,6.35,clear sky
114,Beloha,MG,2021-08-07 02:48:49,-25.1667,45.05,62.91,62,3,3.51,clear sky
115,Jamiltepec,MX,2021-08-07 02:48:49,16.2833,-97.8167,70.43,99,100,2.91,overcast clouds
116,Airai,TL,2021-08-07 02:48:49,-8.9266,125.4092,73.63,36,72,4.61,broken clouds
117,Northam,GB,2021-08-07 02:48:50,51.0333,-4.2167,59.09,94,13,15.64,few clouds
118,Tuktoyaktuk,CA,2021-08-07 02:48:50,69.4541,-133.0374,41.0,81,90,16.11,overcast clouds
119,Nikolskoye,RU,2021-08-07 02:48:50,59.7035,30.7861,58.01,93,100,8.97,overcast clouds
120,Ouango,CF,2021-08-07 02:48:51,4.3133,22.5552,69.51,100,100,2.01,moderate rain
121,Lompoc,US,2021-08-07 02:44:28,34.6391,-120.4579,73.02,90,75,9.22,mist
122,Aykhal,RU,2021-08-07 02:48:51,66.0,111.5,60.64,51,92,17.54,overcast clouds
123,Mehamn,NO,2021-08-07 02:44:29,71.0357,27.8492,58.44,72,100,10.11,overcast clouds
124,La Ronge,CA,2021-08-07 02:44:29,55.1001,-105.2842,71.85,68,75,9.22,smoke
125,Balgazyn,RU,2021-08-07 02:48:52,51.0,95.2,54.61,97,100,8.5,overcast clouds
126,Saint-Louis,SN,2021-08-07 02:48:52,16.3333,-15.0,82.13,68,90,15.77,overcast clouds
127,Buenos Aires,AR,2021-08-07 02:47:08,-34.6132,-58.3772,60.96,95,96,0.0,fog
128,Byron Bay,AU,2021-08-07 02:44:30,-28.65,153.6167,69.87,56,0,7.81,clear sky
129,Areia Branca,BR,2021-08-07 02:48:53,-4.9561,-37.1369,76.37,62,36,18.28,scattered clouds
130,Marawi,PH,2021-08-07 02:44:30,7.9986,124.2928,84.9,50,97,3.02,overcast clouds
131,Mount Isa,AU,2021-08-07 02:45:21,-20.7333,139.5,71.37,20,0,12.66,clear sky
132,Kibala,TD,2021-08-07 02:48:54,9.1104,18.3463,75.15,94,0,0.0,clear sky
133,La Palma,US,2021-08-07 02:48:54,33.8464,-118.0467,85.96,77,1,4.0,clear sky
134,Tuatapere,NZ,2021-08-07 02:44:31,-46.1333,167.6833,42.82,75,73,13.94,broken clouds
135,Kogon,UZ,2021-08-07 02:48:55,39.7228,64.5517,80.64,34,0,9.22,clear sky
136,Victoria,HK,2021-08-07 02:44:31,22.2855,114.1577,87.85,85,100,11.74,overcast clouds
137,Ponta Delgada,PT,2021-08-07 02:46:16,37.7333,-25.6667,68.72,77,75,10.36,broken clouds
138,Bolshoye Nagatkino,RU,2021-08-07 02:48:55,54.5196,47.9679,56.37,46,66,4.38,broken clouds
139,Kysyl-Syr,RU,2021-08-07 02:48:56,63.8986,122.7617,67.17,45,90,12.37,overcast clouds
140,Umm Kaddadah,SD,2021-08-07 02:44:32,13.6017,26.6876,76.05,72,100,5.32,overcast clouds
141,Narsaq,GL,2021-08-07 02:44:33,60.9167,-46.05,46.62,66,98,1.7,overcast clouds
142,Te Anau,NZ,2021-08-07 02:44:33,-45.4167,167.7167,43.99,70,28,6.8,light rain
143,Vitim,RU,2021-08-07 02:48:56,59.4511,112.5578,58.87,95,100,3.09,light rain
144,Beisfjord,NO,2021-08-07 02:48:57,68.3751,17.5988,62.04,69,81,8.57,broken clouds
145,Shingu,JP,2021-08-07 02:44:33,33.7333,135.9833,88.92,90,100,12.24,overcast clouds
146,Makakilo City,US,2021-08-07 02:48:57,21.3469,-158.0858,88.12,51,1,10.36,clear sky
147,Broome,US,2021-08-07 02:48:58,42.2506,-75.833,72.55,90,98,3.27,overcast clouds
148,Sorland,NO,2021-08-07 02:48:58,67.667,12.6934,55.33,83,97,9.42,overcast clouds
149,Lake Cowichan,CA,2021-08-07 02:48:58,48.825,-124.0546,68.11,80,100,2.39,light rain
150,Saint George,US,2021-08-07 02:44:34,37.1041,-113.5841,100.99,4,1,13.8,clear sky
151,Ponta Do Sol,PT,2021-08-07 02:48:59,32.6667,-17.1,72.72,81,5,4.68,clear sky
152,La Sarre,CA,2021-08-07 02:44:40,48.8002,-79.1996,52.36,97,100,9.86,light rain
153,Puerto Escondido,MX,2021-08-07 02:44:35,15.85,-97.0667,77.83,69,90,0.0,overcast clouds
154,Birao,CF,2021-08-07 02:49:00,10.2849,22.7882,70.88,98,100,4.61,light rain
155,Sinnamary,GF,2021-08-07 02:49:00,5.3833,-52.95,76.46,87,73,5.59,moderate rain
156,Hobyo,SO,2021-08-07 02:44:36,5.3505,48.5268,75.49,77,98,22.91,overcast clouds
157,Hualmay,PE,2021-08-07 02:44:36,-11.0964,-77.6139,63.41,83,13,9.13,few clouds
158,Ribeira Grande,PT,2021-08-07 02:44:36,38.5167,-28.7,69.71,71,94,16.24,overcast clouds
159,Trat,TH,2021-08-07 02:49:01,12.5,102.5,86.2,76,89,8.28,overcast clouds
160,Lagoa,PT,2021-08-07 02:49:01,39.05,-27.9833,68.77,68,100,14.5,overcast clouds
161,Aksarka,RU,2021-08-07 02:49:01,66.5606,67.7975,66.88,65,74,3.31,broken clouds
162,Henties Bay,NA,2021-08-07 02:49:02,-22.116,14.2845,52.86,77,0,5.28,clear sky
163,Nanortalik,GL,2021-08-07 02:44:19,60.1432,-45.2371,44.65,77,100,9.22,overcast clouds
164,Iqaluit,CA,2021-08-07 02:49:02,63.7506,-68.5145,42.53,81,90,4.61,light rain
165,Cabo San Lucas,MX,2021-08-07 02:49:03,22.8909,-109.9124,85.6,75,63,8.01,broken clouds
