City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Mecca,SA,86.36,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
186,Kano,NG,75.09,light rain,12.0001,8.5167,Havana Guest Inn
187,Havelock,US,78.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
199,Butaritari,KI,84.38,clear sky,3.0707,172.7902,Isles Sunset Lodge
204,Turbat,PK,86.7,clear sky,26.0023,63.044,Mubashar Quarters
206,Melilla,ES,82.78,clear sky,35.2937,-2.9383,Hotel Nacional
208,Herat,AF,80.4,clear sky,34.5,62.0,
209,Tecoanapa,MX,76.98,overcast clouds,16.5167,-98.75,Hotel Manglares
211,Teknaf,BD,81.66,heavy intensity rain,20.8624,92.3058,Forestry Guesthouse
213,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
214,Atar,MR,84.61,few clouds,20.5169,-13.0499,Oumou Elghoura
219,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
221,Clarksburg,US,75.88,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
226,Vanimo,PG,77.36,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
232,Lazaro Cardenas,MX,80.01,overcast clouds,17.9583,-102.2,quinta antigua
235,Alamosa,US,76.51,clear sky,37.4695,-105.87,Best Western Alamosa Inn
238,Harper,LR,75.67,few clouds,4.375,-7.7169,Screensaver
240,Faanui,PF,78.62,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
246,Manadhoo,MV,82.87,light rain,5.7667,73.3833,Vevu Guesthouse
249,Bac Lieu,VN,87.75,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
250,Kieta,PG,81.68,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
251,Urucara,BR,75.99,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
252,Sudak,UA,75.97,scattered clouds,44.85,34.9667,Solari Beach
257,Tekari,IN,82.62,overcast clouds,24.9333,84.8333,Fast Food
258,Talnakh,RU,76.71,clear sky,69.4865,88.3972,Talnakh Hotel
260,Alanya,TR,78.93,clear sky,36.5438,31.9998,Panorama Hotel
265,Kraskino,RU,83.86,light rain,42.7114,130.7794,"Gostinichnyy Kompleks ""Orion"""
267,Nanakuli,US,89.55,clear sky,21.3906,-158.1547,Camp Pālehua
268,Buala,SB,84.33,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
269,Kathu,TH,85.82,broken clouds,7.9178,98.3332,Novotel Phuket Resort
271,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
272,Bud,US,75.04,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
